<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/catalan#guia-cat'>guia_cat</a>,<a href='https://euroeval.com/datasets/catalan#wikiann-ca'>wikiann_ca</a>,<a href='https://euroeval.com/datasets/catalan#scala-ca'>scala_ca</a>,<a href='https://euroeval.com/datasets/catalan#multi-wiki-qa-ca'>multi_wiki_qa_ca</a>,<a href='https://euroeval.com/datasets/catalan#dacsa-ca'>dacsa_ca</a>,<a href='https://euroeval.com/datasets/catalan#mmlu-ca'>mmlu_ca</a>,<a href='https://euroeval.com/datasets/catalan#winogrande-ca'>winogrande_ca</a>,guia_cat_version,wikiann_ca_version,scala_ca_version,multi_wiki_qa_ca_version,dacsa_ca_version,mmlu_ca_version,winogrande_ca_version
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.98@@1.98,27432406640.0,262144.0,8192.0,✓,✗,62.33 ± 2.37 / 63.09 ± 1.33@@62.33,74.85 ± 2.49 / 74.85 ± 2.49@@74.85,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,74.03 ± 1.75 / 46.28 ± 4.04@@74.03,67.73 ± 0.37 / 25.52 ± 1.12@@67.73,65.66 ± 1.00 / 74.25 ± 0.73@@65.66,42.14 ± 1.73 / 70.91 ± 0.87@@42.14,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,2.00@@2.00,24011361280.0,131072.0,8192.0,✓,✗,57.97 ± 2.07 / 61.55 ± 1.26@@57.97,70.50 ± 2.95 / 70.50 ± 2.95@@70.50,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,75.96 ± 1.58 / 49.94 ± 3.28@@75.96,67.64 ± 0.10 / 20.35 ± 0.50@@67.64,65.17 ± 0.56 / 73.86 ± 0.43@@65.17,49.78 ± 1.62 / 74.81 ± 0.86@@49.78,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.01@@2.01,12187325040.0,262144.0,8192.0,✓,✗,67.55 ± 2.90 / 65.89 ± 2.09@@67.55,74.82 ± 2.23 / 74.82 ± 2.23@@74.82,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,77.70 ± 0.95 / 58.41 ± 2.63@@77.70,67.61 ± 0.32 / 25.19 ± 0.55@@67.61,56.97 ± 0.82 / 67.57 ± 0.61@@56.97,35.90 ± 2.91 / 67.68 ± 1.74@@35.90,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.03@@2.03,?,?,200000.0,✓,✗,68.50 ± 3.86 / 56.98 ± 1.91@@68.50,61.54 ± 2.32 / 61.54 ± 2.32@@61.54,28.65 ± 3.04 / 52.47 ± 2.47@@28.65,69.44 ± 1.42 / 40.16 ± 2.52@@69.44,64.56 ± 0.10 / 12.83 ± 0.15@@64.56,67.30 ± 2.70 / 75.43 ± 2.03@@67.30,44.41 ± 4.88 / 73.59 ± 2.46@@44.41,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.05@@2.05,8190735360.0,151936.0,40960.0,✓,✗,55.76 ± 2.83 / 59.58 ± 2.01@@55.76,68.08 ± 2.58 / 68.08 ± 2.58@@68.08,40.63 ± 2.72 / 65.02 ± 2.68@@40.63,74.17 ± 0.69 / 51.80 ± 1.11@@74.17,67.02 ± 0.10 / 18.01 ± 0.15@@67.02,53.04 ± 0.76 / 64.62 ± 0.57@@53.04,24.54 ± 1.84 / 62.24 ± 0.88@@24.54,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,2.08@@2.08,27432406640.0,262144.0,8192.0,✓,✗,54.48 ± 1.89 / 60.83 ± 0.80@@54.48,65.24 ± 2.26 / 65.24 ± 2.26@@65.24,7.14 ± 3.07 / 34.90 ± 1.36@@7.14,72.95 ± 1.28 / 47.34 ± 2.31@@72.95,66.92 ± 0.09 / 18.71 ± 0.18@@66.92,63.16 ± 0.83 / 72.28 ± 0.62@@63.16,46.07 ± 1.75 / 73.02 ± 0.88@@46.07,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.11@@2.11,14765947904.0,151665.0,131072.0,✓,✗,60.30 ± 1.61 / 60.25 ± 0.97@@60.30,67.90 ± 2.02 / 67.90 ± 2.02@@67.90,48.26 ± 2.64 / 73.35 ± 1.59@@48.26,23.27 ± 0.51 / 0.00 ± 0.00@@23.27,65.53 ± 0.13 / 14.93 ± 0.12@@65.53,68.81 ± 0.57 / 76.63 ± 0.42@@68.81,39.09 ± 1.96 / 69.54 ± 0.97@@39.09,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.14@@2.14,?,100256.0,272000.0,✓,✗,68.29 ± 3.71 / 57.75 ± 1.31@@68.29,61.03 ± 1.99 / 61.03 ± 1.99@@61.03,18.35 ± 3.44 / 50.65 ± 1.93@@18.35,63.79 ± 1.67 / 38.10 ± 2.09@@63.79,64.27 ± 0.13 / 11.10 ± 0.23@@64.27,75.62 ± 1.60 / 81.68 ± 1.19@@75.62,37.01 ± 4.44 / 69.61 ± 2.42@@37.01,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.15@@2.15,32207337984.0,100352.0,131072.0,✓,✗,61.98 ± 2.59 / 60.49 ± 2.10@@61.98,69.86 ± 1.81 / 69.86 ± 1.81@@69.86,-0.22 ± 0.42 / 33.36 ± 0.27@@-0.22,72.34 ± 0.52 / 50.33 ± 1.35@@72.34,68.01 ± 0.33 / 24.65 ± 0.54@@68.01,57.46 ± 0.79 / 67.97 ± 0.64@@57.46,28.32 ± 2.05 / 63.35 ± 1.14@@28.32,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.16@@2.16,30532122624.0,151936.0,262144.0,✓,✗,53.79 ± 1.77 / 59.13 ± 1.58@@53.79,66.48 ± 2.52 / 66.48 ± 2.52@@66.48,54.92 ± 1.56 / 77.34 ± 0.72@@54.92,23.25 ± 0.50 / 0.08 ± 0.07@@23.25,66.61 ± 0.07 / 16.94 ± 0.11@@66.61,66.47 ± 1.06 / 74.81 ± 0.79@@66.47,39.56 ± 1.69 / 69.78 ± 0.85@@39.56,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.17@@2.17,21511953984.0,201088.0,131072.0,✓,✗,59.23 ± 1.73 / 56.29 ± 0.86@@59.23,61.39 ± 1.52 / 61.39 ± 1.52@@61.39,23.25 ± 1.58 / 51.28 ± 0.71@@23.25,64.06 ± 0.82 / 36.94 ± 0.97@@64.06,65.78 ± 0.10 / 14.28 ± 0.21@@65.78,72.33 ± 1.17 / 79.24 ± 0.88@@72.33,32.52 ± 2.30 / 66.26 ± 1.19@@32.52,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.19@@2.19,4022468096.0,151936.0,40960.0,✓,✗,58.41 ± 2.36 / 59.83 ± 1.45@@58.41,64.30 ± 2.61 / 64.30 ± 2.61@@64.30,37.53 ± 1.98 / 66.53 ± 1.78@@37.53,71.87 ± 0.70 / 52.24 ± 0.72@@71.87,67.10 ± 0.10 / 18.19 ± 0.15@@67.10,48.33 ± 0.59 / 61.08 ± 0.41@@48.33,16.64 ± 2.16 / 58.32 ± 1.13@@16.64,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.19@@2.19,?,256128.0,1048576.0,✓,✗,61.08 ± 4.31 / 58.67 ± 3.12@@61.08,59.92 ± 1.16 / 59.92 ± 1.16@@59.92,42.24 ± 5.37 / 67.75 ± 3.18@@42.24,64.08 ± 1.17 / 38.20 ± 2.08@@64.08,64.86 ± 0.13 / 13.36 ± 0.17@@64.86,59.93 ± 2.48 / 69.73 ± 1.93@@59.93,23.13 ± 5.18 / 63.20 ± 2.84@@23.13,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.23@@2.23,21511953984.0,201088.0,131072.0,✓,✗,54.52 ± 1.63 / 56.59 ± 1.23@@54.52,65.63 ± 1.66 / 65.63 ± 1.66@@65.63,24.31 ± 1.36 / 49.31 ± 1.12@@24.31,64.24 ± 1.08 / 37.89 ± 1.50@@64.24,66.12 ± 0.15 / 15.70 ± 0.58@@66.12,63.40 ± 0.23 / 72.51 ± 0.16@@63.40,25.32 ± 2.67 / 62.68 ± 1.33@@25.32,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.27@@2.27,32234279936.0,100352.0,4096.0,✗,✗,46.71 ± 1.44 / 59.11 ± 1.01@@46.71,59.49 ± 1.03 / 59.49 ± 1.03@@59.49,29.33 ± 1.88 / 61.94 ± 1.59@@29.33,67.68 ± 0.54 / 40.16 ± 1.04@@67.68,67.41 ± 0.13 / 20.92 ± 0.34@@67.41,52.35 ± 0.83 / 64.13 ± 0.67@@52.35,30.83 ± 2.57 / 65.38 ± 1.29@@30.83,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,2.29@@2.29,?,128000.0,4096.0,✓,✗,65.50 ± 2.30 / 57.58 ± 2.75@@65.50,70.77 ± 2.24 / 70.77 ± 2.24@@70.77,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,74.04 ± 0.90 / 52.91 ± 2.87@@74.04,66.76 ± 0.39 / 24.44 ± 0.74@@66.76,42.59 ± 1.34 / 56.62 ± 0.99@@42.59,19.28 ± 1.34 / 59.64 ± 0.72@@19.28,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.30@@2.30,8030261248.0,128256.0,131072.0,✓,✗,69.47 ± 2.65 / 64.68 ± 1.91@@69.47,71.34 ± 2.00 / 71.34 ± 2.00@@71.34,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,73.75 ± 1.58 / 46.13 ± 4.93@@73.75,66.97 ± 0.29 / 22.82 ± 0.58@@66.97,37.05 ± 0.80 / 52.13 ± 0.78@@37.05,10.61 ± 1.79 / 54.45 ± 1.05@@10.61,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.30@@2.30,70553706496.0,128256.0,131072.0,✓,✗,54.35 ± 1.63 / 59.23 ± 1.19@@54.35,69.14 ± 1.64 / 69.14 ± 1.64@@69.14,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,14.99 ± 0.42 / 0.04 ± 0.05@@14.99,66.82 ± 0.07 / 17.52 ± 0.23@@66.82,76.93 ± 0.59 / 82.64 ± 0.45@@76.93,56.97 ± 1.31 / 78.43 ± 0.68@@56.97,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.31@@2.31,22637328384.0,128000.0,4096.0,✓,✗,54.77 ± 2.59 / 59.76 ± 0.70@@54.77,69.36 ± 2.08 / 69.36 ± 2.08@@69.36,13.03 ± 7.02 / 39.70 ± 5.68@@13.03,72.69 ± 1.48 / 50.51 ± 2.31@@72.69,66.99 ± 0.07 / 18.00 ± 0.15@@66.99,43.53 ± 0.79 / 56.56 ± 0.69@@43.53,20.35 ± 2.03 / 59.61 ± 1.08@@20.35,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,2.32@@2.32,10731524096.0,32000.0,4096.0,✓,✗,44.82 ± 7.12 / 59.23 ± 2.94@@44.82,72.32 ± 2.19 / 72.32 ± 2.19@@72.32,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,78.20 ± 1.26 / 57.24 ± 2.16@@78.20,67.16 ± 0.42 / 25.12 ± 0.93@@67.16,36.58 ± 0.92 / 48.23 ± 1.15@@36.58,38.31 ± 3.77 / 66.52 ± 2.59@@38.31,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,2.33@@2.33,70553706496.0,128256.0,131072.0,✓,✗,55.79 ± 1.32 / 58.22 ± 1.43@@55.79,69.77 ± 1.58 / 69.77 ± 1.58@@69.77,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,15.98 ± 0.51 / 0.04 ± 0.05@@15.98,66.94 ± 0.10 / 18.05 ± 0.29@@66.94,76.08 ± 0.85 / 82.02 ± 0.64@@76.08,53.87 ± 1.79 / 76.91 ± 0.90@@53.87,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,2.35@@2.35,70553706496.0,128256.0,131072.0,✓,✗,58.64 ± 1.18 / 60.34 ± 1.72@@58.64,66.23 ± 2.44 / 66.23 ± 2.44@@66.23,1.05 ± 2.07 / 33.60 ± 0.58@@1.05,16.53 ± 1.15 / 1.52 ± 0.59@@16.53,67.07 ± 0.09 / 18.14 ± 0.29@@67.07,70.38 ± 0.54 / 77.68 ± 0.41@@70.38,54.47 ± 3.34 / 76.81 ± 2.14@@54.47,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.37@@2.37,?,?,1047576.0,✓,✗,57.28 ± 3.48 / 55.55 ± 1.92@@57.28,62.22 ± 1.67 / 62.22 ± 1.67@@62.22,42.26 ± 3.67 / 68.95 ± 1.97@@42.26,59.78 ± 1.53 / 32.45 ± 1.93@@59.78,64.89 ± 0.15 / 13.23 ± 0.22@@64.89,54.60 ± 1.65 / 65.94 ± 1.17@@54.60,4.36 ± 6.82 / 57.03 ± 3.73@@4.36,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.38@@2.38,8030326784.0,128264.0,131072.0,✓,✗,63.20 ± 2.25 / 65.84 ± 1.21@@63.20,67.36 ± 2.70 / 67.36 ± 2.70@@67.36,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,74.51 ± 1.19 / 49.28 ± 3.45@@74.51,67.29 ± 0.32 / 25.36 ± 0.65@@67.29,37.52 ± 0.50 / 52.89 ± 0.44@@37.52,18.36 ± 2.31 / 59.06 ± 1.04@@18.36,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,2.40@@2.40,12187325040.0,262144.0,8192.0,✓,✗,52.23 ± 1.64 / 61.07 ± 0.90@@52.23,68.67 ± 2.69 / 68.67 ± 2.69@@68.67,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,52.05 ± 10.95 / 28.93 ± 9.71@@52.05,66.88 ± 0.07 / 18.47 ± 0.17@@66.88,53.73 ± 0.85 / 65.10 ± 0.65@@53.73,31.65 ± 1.62 / 65.82 ± 0.81@@31.65,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.45@@2.45,3402836480.0,100352.0,131072.0,✓,✗,55.23 ± 2.70 / 60.07 ± 1.40@@55.23,66.48 ± 2.46 / 66.48 ± 2.46@@66.48,7.09 ± 3.75 / 37.58 ± 2.61@@7.09,68.07 ± 1.41 / 51.30 ± 1.37@@68.07,67.18 ± 0.14 / 21.24 ± 0.41@@67.18,35.86 ± 0.76 / 51.61 ± 0.65@@35.86,13.23 ± 3.04 / 56.49 ± 1.57@@13.23,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.47@@2.47,4300079472.0,262144.0,8192.0,✓,✗,63.93 ± 4.38 / 65.44 ± 1.98@@63.93,66.08 ± 2.13 / 66.08 ± 2.13@@66.08,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,69.54 ± 1.62 / 41.27 ± 4.30@@69.54,66.46 ± 0.40 / 23.09 ± 0.85@@66.46,35.38 ± 1.34 / 50.83 ± 1.12@@35.38,9.26 ± 1.70 / 54.24 ± 0.93@@9.26,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.48@@2.48,3191396096.0,100352.0,131072.0,✓,✗,54.50 ± 2.64 / 61.78 ± 1.66@@54.50,63.65 ± 2.00 / 63.65 ± 2.00@@63.65,19.13 ± 1.61 / 57.16 ± 2.75@@19.13,69.99 ± 0.83 / 50.21 ± 1.65@@69.99,66.83 ± 0.19 / 20.04 ± 0.65@@66.83,36.07 ± 0.70 / 51.62 ± 0.56@@36.07,5.16 ± 1.32 / 51.93 ± 0.75@@5.16,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.48@@2.48,7849978192.0,262400.0,8192.0,✓,✗,46.03 ± 1.46 / 59.32 ± 0.72@@46.03,64.92 ± 1.72 / 64.92 ± 1.72@@64.92,4.88 ± 1.82 / 34.05 ± 0.43@@4.88,70.24 ± 1.66 / 42.54 ± 2.88@@70.24,67.04 ± 0.06 / 17.73 ± 0.15@@67.04,44.23 ± 0.82 / 58.00 ± 0.65@@44.23,22.24 ± 2.02 / 61.12 ± 1.02@@22.24,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,2.50@@2.50,7241748480.0,32002.0,32768.0,✗,✗,57.17 ± 3.09 / 62.28 ± 1.26@@57.17,68.23 ± 3.46 / 68.23 ± 3.46@@68.23,11.58 ± 1.46 / 54.71 ± 1.08@@11.58,71.96 ± 1.03 / 47.49 ± 2.47@@71.96,67.54 ± 0.15 / 20.82 ± 0.60@@67.54,18.12 ± 0.86 / 37.16 ± 0.86@@18.12,4.52 ± 1.75 / 50.65 ± 0.81@@4.52,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.54@@2.54,2031739904.0,151936.0,40960.0,✓,✗,59.65 ± 3.48 / 54.90 ± 2.54@@59.65,59.17 ± 1.24 / 59.17 ± 1.24@@59.17,21.27 ± 2.17 / 52.08 ± 5.51@@21.27,65.71 ± 1.04 / 44.46 ± 0.73@@65.71,66.66 ± 0.08 / 17.49 ± 0.11@@66.66,28.51 ± 1.30 / 46.41 ± 1.00@@28.51,5.83 ± 2.67 / 52.81 ± 1.34@@5.83,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.54@@2.54,8030261248.0,128256.0,131072.0,✓,✗,58.44 ± 2.51 / 58.44 ± 1.38@@58.44,68.06 ± 1.72 / 68.06 ± 1.72@@68.06,16.38 ± 6.06 / 47.76 ± 6.83@@16.38,27.25 ± 4.21 / 4.63 ± 2.53@@27.25,66.61 ± 0.23 / 17.27 ± 0.42@@66.61,40.99 ± 0.87 / 55.51 ± 0.68@@40.99,17.55 ± 1.83 / 58.50 ± 0.95@@17.55,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct</a>,📝,2.57@@2.57,1720574976.0,151936.0,40960.0,✗,✗,57.51 ± 2.13 / 55.92 ± 1.45@@57.51,59.93 ± 1.55 / 59.93 ± 1.55@@59.93,23.28 ± 2.22 / 58.91 ± 2.25@@23.28,62.60 ± 1.07 / 33.78 ± 1.21@@62.60,66.51 ± 0.11 / 17.27 ± 0.17@@66.51,30.57 ± 0.72 / 47.78 ± 0.56@@30.57,5.61 ± 1.62 / 52.71 ± 0.76@@5.61,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
