<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=12 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=13 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/catalan#guia-cat'>guia_cat</a>,<a href='https://euroeval.com/datasets/catalan#wikiann-ca'>wikiann_ca</a>,<a href='https://euroeval.com/datasets/catalan#scala-ca'>scala_ca</a>,<a href='https://euroeval.com/datasets/catalan#multi-wiki-qa-ca'>multi_wiki_qa_ca</a>,<a href='https://euroeval.com/datasets/catalan#dacsa-ca'>dacsa_ca</a>,<a href='https://euroeval.com/datasets/catalan#mmlu-ca'>mmlu_ca</a>,<a href='https://euroeval.com/datasets/catalan#winogrande-ca'>winogrande_ca</a>,guia_cat_version,wikiann_ca_version,scala_ca_version,multi_wiki_qa_ca_version,dacsa_ca_version,mmlu_ca_version,winogrande_ca_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.82@@1.82,?,256128.0,1048576.0,✓,✗,68.58 ± 3.44 / 57.00 ± 1.89@@68.58,57.65 ± 2.14 / 57.65 ± 2.14@@57.65,57.82 ± 3.30 / 77.53 ± 1.78@@57.82,65.44 ± 1.18 / 35.64 ± 1.83@@65.44,64.96 ± 0.15 / 12.28 ± 0.21@@64.96,77.23 ± 2.09 / 82.85 ± 1.57@@77.23,47.76 ± 6.89 / 75.47 ± 3.55@@47.76,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,1.83@@1.83,?,256128.0,1048576.0,✓,✗,66.04 ± 3.43 / 53.45 ± 1.68@@66.04,63.08 ± 1.60 / 63.08 ± 1.60@@63.08,53.59 ± 2.33 / 76.67 ± 1.16@@53.59,67.71 ± 1.59 / 43.09 ± 2.38@@67.71,65.28 ± 0.14 / 13.67 ± 0.20@@65.28,73.64 ± 2.90 / 80.08 ± 2.25@@73.64,38.25 ± 5.28 / 70.78 ± 2.92@@38.25,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.86@@1.86,14768307200.0,151936.0,40960.0,✓,✗,56.30 ± 1.59 / 60.32 ± 1.20@@56.30,67.36 ± 2.79 / 67.36 ± 2.79@@67.36,54.60 ± 2.07 / 76.00 ± 1.69@@54.60,76.65 ± 0.81 / 54.04 ± 1.56@@76.65,67.00 ± 0.08 / 18.17 ± 0.18@@67.00,60.51 ± 0.91 / 70.32 ± 0.69@@60.51,37.47 ± 1.59 / 68.10 ± 0.90@@37.47,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.89@@1.89,70553706496.0,128256.0,131072.0,✓,✗,67.20 ± 2.57 / 62.36 ± 2.32@@67.20,74.17 ± 3.14 / 74.17 ± 3.14@@74.17,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,75.86 ± 1.93 / 48.33 ± 4.99@@75.86,67.48 ± 0.67 / 25.21 ± 1.19@@67.48,61.36 ± 1.13 / 70.81 ± 0.86@@61.36,53.00 ± 2.21 / 76.47 ± 1.10@@53.00,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.90@@1.90,32759790592.0,151665.0,131072.0,✓,✗,58.85 ± 1.47 / 60.37 ± 1.45@@58.85,68.59 ± 2.83 / 68.59 ± 2.83@@68.59,58.73 ± 2.15 / 79.04 ± 1.30@@58.73,25.44 ± 0.92 / 0.00 ± 0.00@@25.44,66.23 ± 0.14 / 16.13 ± 0.17@@66.23,76.28 ± 0.76 / 82.23 ± 0.57@@76.28,54.59 ± 0.83 / 77.29 ± 0.43@@54.59,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.94@@1.94,24011361280.0,131072.0,8192.0,✓,✗,60.03 ± 2.19 / 62.32 ± 1.28@@60.03,74.29 ± 3.05 / 74.29 ± 3.05@@74.29,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,77.99 ± 1.26 / 53.72 ± 2.77@@77.99,67.35 ± 0.09 / 19.80 ± 0.46@@67.35,64.38 ± 0.71 / 73.20 ± 0.53@@64.38,50.15 ± 2.27 / 75.06 ± 1.13@@50.15,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.97@@1.97,24261800960.0,131072.0,8192.0,✓,✗,55.18 ± 3.27 / 61.82 ± 1.62@@55.18,72.79 ± 2.98 / 72.79 ± 2.98@@72.79,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,79.54 ± 1.02 / 59.05 ± 2.18@@79.54,67.63 ± 0.16 / 21.51 ± 0.65@@67.63,65.55 ± 0.73 / 74.16 ± 0.54@@65.55,50.53 ± 0.70 / 75.25 ± 0.36@@50.53,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,1.97@@1.97,?,?,1047576.0,✓,✗,62.28 ± 3.68 / 56.66 ± 1.90@@62.28,61.30 ± 2.21 / 61.30 ± 2.21@@61.30,54.78 ± 3.28 / 77.05 ± 1.70@@54.78,68.39 ± 1.48 / 41.45 ± 2.00@@68.39,65.40 ± 0.10 / 13.84 ± 0.17@@65.40,63.00 ± 2.77 / 72.15 ± 2.11@@63.00,35.40 ± 3.74 / 66.88 ± 1.99@@35.40,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,1.97@@1.97,24011361280.0,131072.0,8192.0,✓,✗,61.68 ± 2.84 / 62.29 ± 1.19@@61.68,75.48 ± 2.79 / 75.48 ± 2.79@@75.48,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,76.33 ± 1.53 / 48.85 ± 4.18@@76.33,67.43 ± 0.48 / 25.34 ± 0.61@@67.43,64.00 ± 1.06 / 72.89 ± 0.82@@64.00,46.76 ± 1.08 / 73.34 ± 0.56@@46.76,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.97@@1.97,72706203648.0,152064.0,32768.0,✓,✗,55.85 ± 2.68 / 62.32 ± 1.14@@55.85,64.23 ± 1.87 / 64.23 ± 1.87@@64.23,58.66 ± 1.94 / 79.17 ± 1.12@@58.66,25.17 ± 0.84 / 2.67 ± 0.80@@25.17,66.73 ± 0.08 / 17.20 ± 0.13@@66.73,71.62 ± 1.07 / 78.65 ± 0.80@@71.62,53.61 ± 0.99 / 76.82 ± 0.50@@53.61,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
