<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
model,generative_type,rank,catalan,french,italian,portuguese,romanian,spanish,parameters,vocabulary_size,context,commercial,merge
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.97@@1.97,1.82@@1.82,1.75@@1.75,2.17@@2.17,2.34@@2.34,1.87@@1.87,1.85@@1.85,?,256128.0,1048576.0,✓,✗
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,1.97@@1.97,2.14@@2.14,1.65@@1.65,1.98@@1.98,1.95@@1.95,2.46@@2.46,1.66@@1.66,14765947904.0,151665.0,131072.0,✓,✗
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.99@@1.99,2.12@@2.12,1.70@@1.70,2.08@@2.08,2.25@@2.25,1.99@@1.99,1.80@@1.80,27432406640.0,262144.0,8192.0,✓,✗
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.03@@2.03,2.14@@2.14,1.72@@1.72,2.04@@2.04,2.03@@2.03,2.44@@2.44,1.79@@1.79,30532122624.0,151936.0,262144.0,✓,✗
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.03@@2.03,2.03@@2.03,1.66@@1.66,2.22@@2.22,2.21@@2.21,2.21@@2.21,1.83@@1.83,?,?,200000.0,✓,✗
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,2.03@@2.03,2.33@@2.33,1.61@@1.61,2.09@@2.09,2.17@@2.17,2.23@@2.23,1.77@@1.77,70553706496.0,128256.0,131072.0,✓,✗
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.07@@2.07,2.17@@2.17,1.86@@1.86,2.05@@2.05,2.13@@2.13,2.31@@2.31,1.91@@1.91,21511953984.0,201088.0,131072.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,2.07@@2.07,1.95@@1.95,1.80@@1.80,2.35@@2.35,2.15@@2.15,2.19@@2.19,2.00@@2.00,?,?,1047576.0,✓,✗
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.10@@2.10,2.14@@2.14,1.83@@1.83,2.25@@2.25,2.30@@2.30,2.05@@2.05,2.02@@2.02,?,100256.0,272000.0,✓,✗
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.11@@2.11,2.24@@2.24,1.87@@1.87,2.15@@2.15,2.12@@2.12,2.34@@2.34,1.96@@1.96,21511953984.0,201088.0,131072.0,✓,✗
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.13@@2.13,2.02@@2.02,1.75@@1.75,2.27@@2.27,2.06@@2.06,2.10@@2.10,2.56@@2.56,12187325040.0,262144.0,8192.0,✓,✗
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,2.14@@2.14,2.39@@2.39,1.80@@1.80,2.11@@2.11,2.33@@2.33,2.27@@2.27,1.95@@1.95,12187325040.0,262144.0,8192.0,✓,✗
