Model,Type,Rank,European Values,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/dutch#dbrd'>dbrd</a>,<a href='https://euroeval.com/datasets/dutch#conll-nl'>conll_nl</a>,<a href='https://euroeval.com/datasets/dutch#scala-nl'>scala_nl</a>,<a href='https://euroeval.com/datasets/dutch#squad-nl'>squad_nl</a>,<a href='https://euroeval.com/datasets/dutch#wiki-lingua-nl'>wiki_lingua_nl</a>,<a href='https://euroeval.com/datasets/dutch#mmlu-nl'>mmlu_nl</a>,<a href='https://euroeval.com/datasets/dutch#hellaswag-nl'>hellaswag_nl</a>,<a href='https://euroeval.com/datasets/dutch#duidelijke-taal'>duidelijke_taal</a>,dbrd_version,conll_nl_version,scala_nl_version,squad_nl_version,wiki_lingua_nl_version,mmlu_nl_version,hellaswag_nl_version,duidelijke_taal_version
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-flash-preview'>gemini/gemini-3-flash-preview#thinking (zero-shot, val)</a>",🤔,1.54@@1.54,85.26,?,256128.0,1048576.0,✓,✗,92.21 ± 1.23 / 96.08 ± 0.63@@92.21,75.26 ± 3.26 / 67.36 ± 2.83@@75.26,73.11 ± 3.25 / 86.48 ± 1.65@@73.11,75.96 ± 0.66 / 46.75 ± 1.66@@75.96,64.14 ± 0.09 / 12.58 ± 0.19@@64.14,86.64 ± 1.91 / 89.96 ± 1.40@@86.64,86.12 ± 1.62 / 89.61 ± 1.19@@86.12,38.54 ± 0.92 / 58.28 ± 4.62@@38.54,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.55@@1.55,?,70553706496.0,128256.0,131072.0,✓,✗,92.07 ± 0.47 / 95.99 ± 0.24@@92.07,70.37 ± 1.97 / 56.00 ± 2.79@@70.37,62.87 ± 1.48 / 81.12 ± 0.82@@62.87,72.23 ± 0.75 / 47.75 ± 1.34@@72.23,69.36 ± 0.65 / 22.77 ± 1.04@@69.36,68.82 ± 1.12 / 76.61 ± 0.84@@68.82,74.72 ± 0.75 / 80.76 ± 0.61@@74.72,51.28 ± 1.41 / 66.21 ± 1.51@@51.28,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/mistralai/Mistral-Small-3.2-24B-Instruct-2506'>mistralai/Mistral-Small-3.2-24B-Instruct-2506</a>,📝,1.56@@1.56,?,24011361280.0,131072.0,?,✓,✗,91.43 ± 0.77 / 95.68 ± 0.40@@91.43,73.35 ± 1.74 / 58.36 ± 2.08@@73.35,54.10 ± 2.25 / 75.55 ± 1.81@@54.10,81.05 ± 1.20 / 66.24 ± 0.98@@81.05,68.05 ± 0.32 / 20.01 ± 0.47@@68.05,62.57 ± 0.95 / 71.79 ± 0.73@@62.57,74.17 ± 1.22 / 80.44 ± 0.95@@74.17,53.79 ± 1.35 / 65.06 ± 4.75@@53.79,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://platform.openai.com/docs/models/gpt-5.2'>gpt-5.2-2025-12-11 (zero-shot, val)</a>",🤔,1.56@@1.56,?,?,?,?,✓,✗,94.61 ± 1.09 / 97.26 ± 0.56@@94.61,62.41 ± 3.43 / 45.60 ± 3.18@@62.41,67.43 ± 3.12 / 83.40 ± 1.61@@67.43,73.62 ± 0.86 / 41.15 ± 1.68@@73.62,64.46 ± 0.10 / 13.33 ± 0.16@@64.46,75.68 ± 3.08 / 81.72 ± 2.33@@75.68,75.37 ± 2.12 / 81.56 ± 1.61@@75.37,54.77 ± 1.55 / 62.64 ± 5.79@@54.77,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.56@@1.56,?,24261800960.0,131072.0,8192.0,✓,✗,90.68 ± 0.72 / 95.29 ± 0.36@@90.68,74.99 ± 2.18 / 63.18 ± 2.48@@74.99,52.84 ± 3.02 / 73.70 ± 2.49@@52.84,79.20 ± 1.27 / 64.17 ± 1.25@@79.20,68.43 ± 0.50 / 20.82 ± 0.70@@68.43,63.62 ± 0.68 / 72.65 ± 0.51@@63.62,75.08 ± 0.93 / 81.12 ± 0.72@@75.08,54.56 ± 1.65 / 70.60 ± 1.36@@54.56,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen3-32B'>Qwen/Qwen3-32B#no-thinking</a>,📝,1.57@@1.57,?,32762123264.0,151936.0,40960.0,✓,✗,91.68 ± 0.51 / 95.77 ± 0.27@@91.68,62.75 ± 1.36 / 42.60 ± 1.81@@62.75,64.12 ± 0.94 / 81.72 ± 0.59@@64.12,82.41 ± 0.55 / 66.75 ± 1.09@@82.41,66.50 ± 0.22 / 17.08 ± 0.30@@66.50,68.33 ± 0.80 / 76.17 ± 0.60@@68.33,73.90 ± 0.65 / 80.17 ± 0.50@@73.90,54.71 ± 1.06 / 61.75 ± 3.68@@54.71,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-3-pro-preview'>gemini/gemini-3-pro-preview (zero-shot, val)</a>",🤔,1.57@@1.57,2.06,?,256128.0,1048576.0,✓,✗,94.61 ± 1.09 / 97.26 ± 0.56@@94.61,70.38 ± 2.75 / 67.73 ± 2.28@@70.38,77.07 ± 1.95 / 88.50 ± 0.98@@77.07,76.90 ± 0.90 / 48.98 ± 1.65@@76.90,64.73 ± 0.11 / 13.09 ± 0.19@@64.73,85.07 ± 1.40 / 88.79 ± 1.05@@85.07,85.18 ± 1.25 / 88.75 ± 0.92@@85.18,36.78 ± 0.87 / 56.75 ± 4.57@@36.78,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/meta-llama/Llama-3.1-70B'>meta-llama/Llama-3.1-70B</a>,🧠,1.60@@1.60,?,70553706496.0,128256.0,131072.0,✓,✗,90.16 ± 1.07 / 94.92 ± 0.60@@90.16,73.99 ± 1.83 / 67.02 ± 1.91@@73.99,58.46 ± 1.82 / 78.99 ± 0.87@@58.46,82.52 ± 1.32 / 68.19 ± 1.20@@82.52,69.41 ± 1.16 / 24.12 ± 1.88@@69.41,63.12 ± 0.66 / 72.21 ± 0.51@@63.12,55.06 ± 2.65 / 64.39 ± 2.22@@55.06,54.57 ± 0.79 / 60.30 ± 4.50@@54.57,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,1.61@@1.61,?,27432406640.0,262144.0,?,✓,✗,90.14 ± 1.32 / 94.87 ± 0.74@@90.14,66.98 ± 2.19 / 57.49 ± 2.26@@66.98,58.52 ± 3.68 / 78.40 ± 2.20@@58.52,81.67 ± 0.85 / 64.37 ± 1.47@@81.67,69.15 ± 1.55 / 25.29 ± 2.88@@69.15,64.76 ± 0.66 / 73.54 ± 0.50@@64.76,57.09 ± 3.28 / 66.04 ± 2.85@@57.09,56.24 ± 1.53 / 70.26 ± 1.41@@56.24,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.64@@1.64,?,72706203648.0,152064.0,32768.0,✓,✗,90.68 ± 0.71 / 95.26 ± 0.38@@90.68,67.16 ± 1.61 / 44.06 ± 2.06@@67.16,66.06 ± 1.20 / 82.87 ± 0.67@@66.06,77.17 ± 0.40 / 54.93 ± 1.27@@77.17,64.83 ± 0.23 / 15.04 ± 0.29@@64.83,73.09 ± 0.79 / 79.74 ± 0.60@@73.09,79.00 ± 0.83 / 84.13 ± 0.64@@79.00,45.12 ± 3.08 / 55.31 ± 4.24@@45.12,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
