<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=11 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<span style='visibility: hidden;'>hidden</span>,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,<a href='https://euroeval.com/datasets/bosnian#mms-bs'>mms_bs</a>,<a href='https://euroeval.com/datasets/bosnian#wikiann-bs'>wikiann_bs</a>,<a href='https://euroeval.com/datasets/bosnian#multi-wiki-qa-bs'>multi_wiki_qa_bs</a>,<a href='https://euroeval.com/datasets/bosnian#lr-sum-bs'>lr_sum_bs</a>,mms_bs_version,wikiann_bs_version,multi_wiki_qa_bs_version,lr_sum_bs_version
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,1.99@@1.99,3402836480.0,100352.0,131072.0,✓,✗,34.73 ± 1.55 / 55.92 ± 1.17@@34.73,56.92 ± 1.77 / 56.92 ± 1.77@@56.92,65.43 ± 1.69 / 45.11 ± 2.54@@65.43,29.29 ± 1.02 / 32.72 ± 1.43@@29.29,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.14.0.dev0@@161400
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.00@@2.00,2031739904.0,151936.0,40960.0,✓,✗,36.19 ± 1.06 / 55.61 ± 1.32@@36.19,49.27 ± 2.81 / 49.27 ± 2.81@@49.27,65.07 ± 1.84 / 45.19 ± 2.73@@65.07,30.79 ± 0.12 / 35.38 ± 0.13@@30.79,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.00@@2.00,21511953984.0,201088.0,131072.0,✓,✗,44.77 ± 0.84 / 62.90 ± 0.49@@44.77,65.48 ± 0.89 / 65.48 ± 0.89@@65.48,58.66 ± 0.90 / 31.78 ± 1.04@@58.66,25.28 ± 0.32 / 31.41 ± 0.25@@25.28,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.01@@2.01,8030261248.0,128256.0,131072.0,✓,✗,33.65 ± 1.78 / 49.72 ± 2.84@@33.65,59.21 ± 3.01 / 59.21 ± 3.01@@59.21,67.45 ± 2.71 / 47.51 ± 2.96@@67.45,27.68 ± 2.10 / 30.22 ± 2.97@@27.68,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.04@@2.04,8030326784.0,128264.0,131072.0,✓,✗,30.32 ± 1.47 / 53.22 ± 1.10@@30.32,57.85 ± 1.68 / 57.85 ± 1.68@@57.85,68.97 ± 1.57 / 45.17 ± 2.48@@68.97,28.28 ± 1.35 / 30.31 ± 1.84@@28.28,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.05@@2.05,21511953984.0,201088.0,131072.0,✓,✗,39.98 ± 2.17 / 59.77 ± 1.55@@39.98,66.28 ± 1.63 / 66.28 ± 1.63@@66.28,56.37 ± 1.42 / 29.42 ± 1.61@@56.37,25.87 ± 0.45 / 31.90 ± 0.26@@25.87,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,2.06@@2.06,30532122624.0,151936.0,262144.0,✓,✗,43.22 ± 1.42 / 61.63 ± 1.13@@43.22,65.82 ± 2.07 / 65.82 ± 2.07@@65.82,26.55 ± 1.13 / 0.04 ± 0.07@@26.55,30.48 ± 0.11 / 35.05 ± 0.13@@30.48,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.07@@2.07,8030261248.0,128256.0,131072.0,✓,✗,39.84 ± 1.31 / 57.41 ± 1.40@@39.84,58.31 ± 1.71 / 58.31 ± 1.71@@58.31,32.00 ± 1.64 / 1.97 ± 0.89@@32.00,32.19 ± 0.47 / 35.55 ± 0.96@@32.19,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,2.09@@2.09,3349227520.0,262144.0,500000.0,✗,✗,46.10 ± 2.32 / 57.94 ± 3.44@@46.10,49.10 ± 4.67 / 49.10 ± 4.67@@49.10,67.05 ± 1.64 / 50.69 ± 2.20@@67.05,25.59 ± 1.09 / 27.70 ± 1.47@@25.59,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,2.10@@2.10,70553706496.0,128256.0,131072.0,✓,✗,44.90 ± 1.67 / 62.21 ± 0.99@@44.90,66.24 ± 1.21 / 66.24 ± 1.21@@66.24,18.11 ± 1.23 / 0.21 ± 0.15@@18.11,31.07 ± 0.17 / 34.99 ± 0.29@@31.07,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.10@@2.10,14765947904.0,151665.0,131072.0,✓,✗,40.50 ± 1.35 / 60.23 ± 1.09@@40.50,66.64 ± 1.71 / 66.64 ± 1.71@@66.64,27.47 ± 1.22 / 0.02 ± 0.04@@27.47,30.50 ± 0.11 / 34.61 ± 0.13@@30.50,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.14@@2.14,7298011136.0,100278.0,65536.0,✓,✗,31.01 ± 1.15 / 49.67 ± 2.48@@31.01,56.72 ± 4.31 / 56.72 ± 4.31@@56.72,68.66 ± 1.31 / 48.71 ± 2.48@@68.66,26.97 ± 2.10 / 29.81 ± 2.86@@26.97,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.15@@2.15,4300079472.0,262144.0,8192.0,✓,✗,35.61 ± 1.35 / 55.11 ± 1.41@@35.61,54.33 ± 3.12 / 54.33 ± 3.12@@54.33,63.31 ± 1.58 / 40.80 ± 2.10@@63.31,26.03 ± 2.10 / 28.20 ± 3.08@@26.03,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,2.15@@2.15,873436192.0,248044.0,8192.0,✓,✗,33.13 ± 2.89 / 53.42 ± 2.10@@33.13,50.37 ± 1.96 / 50.37 ± 1.96@@50.37,52.72 ± 1.49 / 30.26 ± 1.86@@52.72,30.23 ± 0.32 / 35.41 ± 0.41@@30.23,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,2.16@@2.16,70553706496.0,128256.0,131072.0,✓,✗,45.16 ± 1.39 / 61.56 ± 1.18@@45.16,63.99 ± 1.70 / 63.99 ± 1.70@@63.99,19.06 ± 1.98 / 2.76 ± 0.90@@19.06,29.90 ± 0.55 / 32.42 ± 0.86@@29.90,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,<9.2.0@@0
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.16@@2.16,22637328384.0,128000.0,32768.0,✓,✗,43.04 ± 1.06 / 54.37 ± 2.00@@43.04,64.21 ± 1.84 / 64.21 ± 1.84@@64.21,19.83 ± 2.65 / 8.98 ± 1.44@@19.83,30.07 ± 0.61 / 33.38 ± 0.79@@30.07,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.16@@2.16,8030261248.0,128256.0,131072.0,✓,✗,36.50 ± 1.30 / 57.20 ± 1.16@@36.50,57.89 ± 1.59 / 57.89 ± 1.59@@57.89,35.55 ± 0.96 / 4.14 ± 0.72@@35.55,31.26 ± 0.11 / 34.98 ± 0.24@@31.26,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🤔,2.18@@2.18,4659861248.0,248044.0,8192.0,✓,✗,29.35 ± 3.59 / 47.82 ± 3.63@@29.35,70.14 ± 0.97 / 70.14 ± 0.97@@70.14,64.77 ± 0.82 / 36.77 ± 1.21@@64.77,23.83 ± 0.49 / 29.74 ± 0.42@@23.83,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.20@@2.20,32233522176.0,100278.0,65536.0,✗,✗,32.78 ± 1.54 / 53.91 ± 1.86@@32.78,64.75 ± 2.25 / 64.75 ± 2.25@@64.75,75.21 ± 1.78 / 55.80 ± 2.61@@75.21,21.68 ± 0.95 / 22.23 ± 1.12@@21.68,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.15.0.dev0@@161500
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.24@@2.24,32233522176.0,100278.0,65536.0,✓,✗,8.73 ± 2.66 / 19.90 ± 1.63@@8.73,67.01 ± 2.43 / 67.01 ± 2.43@@67.01,78.64 ± 1.48 / 57.06 ± 3.39@@78.64,26.71 ± 2.50 / 28.65 ± 3.51@@26.71,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.26@@2.26,9152319488.0,128000.0,4096.0,✗,✗,35.43 ± 1.44 / 56.04 ± 1.98@@35.43,58.69 ± 2.29 / 58.69 ± 2.29@@58.69,26.48 ± 1.41 / 1.25 ± 0.44@@26.48,31.20 ± 0.49 / 36.31 ± 0.70@@31.20,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.29@@2.29,4300079472.0,262144.0,8192.0,✓,✗,40.84 ± 1.74 / 59.32 ± 1.35@@40.84,60.45 ± 1.73 / 60.45 ± 1.73@@60.45,21.55 ± 1.72 / 0.53 ± 0.72@@21.55,29.14 ± 0.13 / 34.16 ± 0.18@@29.14,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.30@@2.30,3075098624.0,128256.0,65536.0,✓,✗,31.30 ± 1.43 / 45.81 ± 1.95@@31.30,51.16 ± 3.38 / 51.16 ± 3.38@@51.16,62.70 ± 2.24 / 44.05 ± 3.18@@62.70,25.55 ± 3.22 / 28.07 ± 4.23@@25.55,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.31@@2.31,4659861248.0,248044.0,8192.0,✓,✗,41.80 ± 1.93 / 59.97 ± 1.10@@41.80,56.60 ± 4.47 / 56.60 ± 4.47@@56.60,37.38 ± 2.31 / 24.53 ± 2.18@@37.38,25.98 ± 1.12 / 29.69 ± 1.26@@25.98,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,2.31@@2.31,2614341888.0,256000.0,8192.0,✗,✗,30.36 ± 3.89 / 44.57 ± 3.17@@30.36,48.78 ± 2.20 / 48.78 ± 2.20@@48.78,60.99 ± 1.14 / 40.23 ± 2.05@@60.99,27.21 ± 0.33 / 31.77 ± 0.38@@27.21,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,<9.2.0@@0
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.32@@2.32,7298011136.0,100278.0,65536.0,✗,✗,28.29 ± 1.20 / 51.38 ± 0.96@@28.29,51.49 ± 1.76 / 51.49 ± 1.76@@51.49,60.75 ± 1.24 / 38.47 ± 1.87@@60.75,27.01 ± 0.15 / 30.79 ± 0.17@@27.01,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,2.34@@2.34,7298011136.0,100278.0,65536.0,✗,✗,27.94 ± 1.31 / 51.26 ± 1.04@@27.94,52.21 ± 1.86 / 52.21 ± 1.86@@52.21,59.05 ± 1.51 / 34.81 ± 2.27@@59.05,26.83 ± 0.14 / 30.76 ± 0.16@@26.83,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,2.37@@2.37,3075098624.0,128256.0,65536.0,✓,✗,24.80 ± 2.19 / 41.87 ± 2.33@@24.80,52.88 ± 2.38 / 52.88 ± 2.38@@52.88,30.01 ± 2.18 / 3.93 ± 1.78@@30.01,32.47 ± 0.27 / 37.51 ± 0.32@@32.47,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,2.40@@2.40,7298011136.0,100278.0,65536.0,✗,✗,26.22 ± 1.13 / 49.44 ± 1.46@@26.22,51.69 ± 3.40 / 51.69 ± 3.40@@51.69,61.42 ± 1.61 / 40.83 ± 1.77@@61.42,25.28 ± 0.98 / 27.74 ± 1.35@@25.28,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,📝,2.40@@2.40,873436192.0,248044.0,8192.0,✓,✗,34.32 ± 4.11 / 52.52 ± 3.13@@34.32,48.57 ± 3.93 / 48.57 ± 3.93@@48.57,45.24 ± 2.20 / 22.23 ± 2.60@@45.24,27.29 ± 1.15 / 31.38 ± 1.53@@27.29,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700,16.17.0.dev0@@161700
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,2.42@@2.42,7241732096.0,32000.0,32768.0,✓,✗,17.60 ± 2.57 / 33.10 ± 2.38@@17.60,56.15 ± 3.17 / 56.15 ± 3.17@@56.15,66.20 ± 2.16 / 47.32 ± 3.28@@66.20,25.70 ± 3.37 / 27.52 ± 4.44@@25.70,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.42@@2.42,22637328384.0,128000.0,32768.0,✓,✗,9.89 ± 2.46 / 20.66 ± 2.08@@9.89,61.75 ± 2.84 / 61.75 ± 2.84@@61.75,70.96 ± 2.02 / 52.79 ± 2.94@@70.96,24.64 ± 1.85 / 25.92 ± 2.75@@24.64,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.15.0.dev0@@161500
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,2.45@@2.45,3606752256.0,128256.0,131072.0,✓,✗,32.48 ± 1.75 / 52.42 ± 1.52@@32.48,55.77 ± 1.48 / 55.77 ± 1.48@@55.77,17.37 ± 2.02 / 0.00 ± 0.00@@17.37,30.99 ± 0.13 / 34.92 ± 0.30@@30.99,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.50@@2.50,9152319488.0,128000.0,4096.0,✓,✗,14.25 ± 1.62 / 27.16 ± 2.29@@14.25,57.93 ± 2.26 / 57.93 ± 2.26@@57.93,65.83 ± 2.16 / 44.60 ± 2.82@@65.83,24.73 ± 1.95 / 25.93 ± 2.69@@24.73,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.56@@2.56,21511953984.0,201088.0,131072.0,✓,✗,44.09 ± 1.02 / 62.23 ± 0.72@@44.09,59.96 ± 1.61 / 59.96 ± 1.61@@59.96,56.91 ± 0.84 / 33.33 ± 1.07@@56.91,16.72 ± 1.34 / 20.49 ± 1.63@@16.72,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.15.0.dev0@@161500
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,2.57@@2.57,26123974400.0,200192.0,131072.0,✗,✗,41.77 ± 1.88 / 59.09 ± 1.29@@41.77,69.21 ± 0.82 / 69.21 ± 0.82@@69.21,56.71 ± 0.84 / 38.57 ± 1.19@@56.71,14.91 ± 0.75 / 19.58 ± 0.97@@14.91,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,2.67@@2.67,3212749824.0,128256.0,131072.0,✓,✗,25.15 ± 2.76 / 43.22 ± 4.12@@25.15,54.45 ± 1.56 / 54.45 ± 1.56@@54.45,14.93 ± 1.74 / 0.06 ± 0.06@@14.93,29.28 ± 1.19 / 31.61 ± 1.75@@29.28,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,2.71@@2.71,1596507648.0,32000.0,8192.0,✓,✗,13.86 ± 1.32 / 31.12 ± 1.26@@13.86,52.40 ± 2.38 / 52.40 ± 2.38@@52.40,60.48 ± 1.65 / 42.27 ± 2.37@@60.48,23.81 ± 1.50 / 26.76 ± 1.88@@23.81,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.15.0.dev0@@161500
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,2.82@@2.82,751632384.0,151936.0,40960.0,✓,✗,15.74 ± 2.96 / 35.29 ± 5.06@@15.74,42.17 ± 1.67 / 42.17 ± 1.67@@42.17,42.92 ± 1.33 / 24.37 ± 1.34@@42.92,26.96 ± 0.88 / 30.58 ± 1.07@@26.96,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,2.87@@2.87,2424375168.0,99000.0,28723.0,✗,✗,18.72 ± 2.34 / 35.54 ± 4.22@@18.72,45.21 ± 3.57 / 45.21 ± 3.57@@45.21,23.08 ± 1.08 / 0.00 ± 0.00@@23.08,27.49 ± 0.86 / 31.02 ± 0.98@@27.49,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,2.99@@2.99,999885952.0,262144.0,32768.0,✓,✗,23.49 ± 2.09 / 45.25 ± 2.61@@23.49,36.71 ± 2.23 / 36.71 ± 2.23@@36.71,17.72 ± 1.35 / 0.02 ± 0.04@@17.72,27.60 ± 0.25 / 32.28 ± 0.27@@27.60,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.02@@3.02,7768117248.0,256000.0,8192.0,✓,✗,30.54 ± 2.10 / 52.07 ± 1.99@@30.54,38.94 ± 4.23 / 38.94 ± 4.23@@38.94,20.65 ± 5.55 / 3.22 ± 4.80@@20.65,23.03 ± 0.49 / 25.42 ± 0.67@@23.03,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.34@@3.34,1235814400.0,128256.0,131072.0,✓,✗,10.87 ± 2.10 / 37.54 ± 1.65@@10.87,26.33 ± 2.37 / 26.33 ± 2.37@@26.33,35.94 ± 1.86 / 19.85 ± 1.57@@35.94,23.96 ± 1.32 / 27.00 ± 1.68@@23.96,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.35@@3.35,7768117248.0,256000.0,8192.0,✓,✗,2.99 ± 1.54 / 17.47 ± 0.76@@2.99,36.19 ± 3.24 / 36.19 ± 3.24@@36.19,52.38 ± 2.04 / 33.34 ± 2.16@@52.38,19.45 ± 1.97 / 21.11 ± 2.67@@19.45,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,3.36@@3.36,268098176.0,262144.0,32768.0,✓,✗,4.02 ± 2.70 / 24.29 ± 3.46@@4.02,21.98 ± 4.14 / 21.98 ± 4.14@@21.98,6.78 ± 0.70 / 0.00 ± 0.00@@6.78,31.58 ± 0.81 / 37.10 ± 1.05@@31.58,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.46@@3.46,2611528704.0,128000.0,4096.0,✓,✗,3.00 ± 2.26 / 18.96 ± 2.59@@3.00,26.37 ± 2.60 / 26.37 ± 2.60@@26.37,20.51 ± 1.20 / 0.42 ± 0.23@@20.51,27.06 ± 0.32 / 31.94 ± 0.40@@27.06,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.7.1.dev0@@160701,16.15.0.dev0@@161500
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.47@@3.47,999885952.0,262144.0,32768.0,✓,✗,13.19 ± 3.56 / 25.73 ± 3.64@@13.19,24.39 ± 2.53 / 24.39 ± 2.53@@24.39,40.49 ± 1.61 / 23.90 ± 1.84@@40.49,20.22 ± 2.05 / 22.71 ± 2.69@@20.22,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.58@@3.58,1195468800.0,65536.0,2048.0,✓,✗,14.43 ± 3.64 / 27.91 ± 4.47@@14.43,41.46 ± 1.10 / 41.46 ± 1.10@@41.46,25.62 ± 1.97 / 14.83 ± 1.58@@25.62,16.85 ± 1.39 / 17.91 ± 1.89@@16.85,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,3.62@@3.62,742489344.0,65536.0,128000.0,✗,✗,5.49 ± 2.34 / 20.47 ± 2.61@@5.49,26.97 ± 2.19 / 26.97 ± 2.19@@26.97,9.02 ± 0.79 / 0.00 ± 0.00@@9.02,25.80 ± 0.93 / 29.47 ± 1.17@@25.80,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.62@@3.62,1170340608.0,65536.0,128000.0,✗,✗,4.28 ± 2.89 / 22.54 ± 4.03@@4.28,26.37 ± 2.25 / 26.37 ± 2.25@@26.37,8.99 ± 0.86 / 0.00 ± 0.00@@8.99,25.77 ± 0.32 / 29.61 ± 0.37@@25.77,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.63@@3.63,1235814400.0,128256.0,131072.0,✓,✗,3.17 ± 1.74 / 26.42 ± 4.67@@3.17,38.27 ± 3.28 / 38.27 ± 3.28@@38.27,6.76 ± 1.31 / 0.00 ± 0.00@@6.76,23.94 ± 0.79 / 26.93 ± 1.11@@23.94,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.14.0.dev0@@161400
