<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,<a id=8 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=9 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=10 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=11 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,
model,generative_type,rank,parameters,vocabulary_size,context,commercial,merge,<a href='https://euroeval.com/datasets/hungarian#husst'>husst</a>,<a href='https://euroeval.com/datasets/hungarian#szeged-ner'>szeged_ner</a>,<a href='https://euroeval.com/datasets/hungarian#scala-hu'>scala_hu</a>,<a href='https://euroeval.com/datasets/hungarian#multi-wiki-qa-hu'>multi_wiki_qa_hu</a>,husst_version,szeged_ner_version,scala_hu_version,multi_wiki_qa_hu_version
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,2.77@@2.77,3606752256.0,128256.0,131072.0,✓,✗,46.57 ± 4.93 / 57.57 ± 4.80@@46.57,55.08 ± 2.65 / 44.45 ± 2.30@@55.08,15.92 ± 2.31 / 45.13 ± 3.91@@15.92,13.81 ± 2.00 / 0.06 ± 0.06@@13.81,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,2.88@@2.88,7768117248.0,256000.0,8192.0,✓,✗,23.98 ± 5.97 / 31.85 ± 5.04@@23.98,41.70 ± 2.33 / 41.74 ± 2.29@@41.70,6.60 ± 3.10 / 44.37 ± 5.53@@6.60,56.50 ± 1.82 / 40.07 ± 1.82@@56.50,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,2.88@@2.88,7241732096.0,32000.0,32768.0,✓,✗,13.84 ± 4.31 / 27.94 ± 3.83@@13.84,49.18 ± 2.22 / 50.01 ± 2.09@@49.18,0.00 ± 0.00 / 33.19 ± 0.34@@0.00,60.25 ± 2.95 / 43.99 ± 2.97@@60.25,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,2.89@@2.89,999885952.0,262144.0,32768.0,✓,✗,46.79 ± 1.69 / 48.96 ± 1.74@@46.79,35.66 ± 2.90 / 35.90 ± 2.94@@35.66,0.78 ± 2.41 / 33.70 ± 0.56@@0.78,36.61 ± 2.20 / 23.98 ± 1.81@@36.61,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,2.90@@2.90,7799574528.0,100096.0,4096.0,✓,✗,33.98 ± 1.06 / 41.50 ± 0.98@@33.98,46.65 ± 2.76 / 43.64 ± 2.96@@46.65,3.29 ± 2.44 / 46.25 ± 2.56@@3.29,36.59 ± 2.14 / 25.30 ± 1.81@@36.59,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.93@@2.93,528384.0,100278.0,65536.0,✓,✗,27.50 ± 1.21 / 49.76 ± 1.48@@27.50,48.72 ± 1.15 / 48.25 ± 1.43@@48.72,5.83 ± 2.08 / 48.53 ± 2.66@@5.83,38.72 ± 1.40 / 26.41 ± 0.96@@38.72,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,3.01@@3.01,3075098624.0,128256.0,65536.0,✓,✗,28.75 ± 2.23 / 46.63 ± 2.01@@28.75,44.40 ± 3.64 / 40.95 ± 3.23@@44.40,0.62 ± 2.27 / 34.22 ± 0.77@@0.62,43.45 ± 2.82 / 29.82 ± 2.71@@43.45,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B'>HuggingFaceTB/SmolLM3-3B#no-thinking</a>,📝,3.05@@3.05,3075098624.0,128256.0,65536.0,✓,✗,27.09 ± 1.15 / 48.92 ± 2.19@@27.09,51.61 ± 2.58 / 48.81 ± 2.47@@51.61,6.61 ± 2.07 / 51.96 ± 1.06@@6.61,23.46 ± 1.13 / 1.96 ± 0.75@@23.46,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.12@@3.12,1235814400.0,128256.0,131072.0,✓,✗,40.03 ± 4.01 / 57.17 ± 4.06@@40.03,23.77 ± 5.04 / 24.86 ± 5.01@@23.77,2.85 ± 2.80 / 44.49 ± 4.14@@2.85,34.64 ± 4.42 / 20.83 ± 3.56@@34.64,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.13@@3.13,751632384.0,151936.0,40960.0,✓,✗,30.77 ± 1.80 / 41.93 ± 1.61@@30.77,43.38 ± 2.94 / 39.29 ± 3.23@@43.38,2.59 ± 1.87 / 38.01 ± 4.32@@2.59,24.42 ± 2.21 / 14.21 ± 1.65@@24.42,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,3.32@@3.32,1543714304.0,151936.0,32768.0,✓,✗,25.57 ± 1.30 / 37.84 ± 1.03@@25.57,38.10 ± 2.50 / 32.90 ± 3.07@@38.10,4.64 ± 1.45 / 47.41 ± 3.51@@4.64,21.69 ± 1.34 / 2.05 ± 0.95@@21.69,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.57@@3.57,999885952.0,262144.0,32768.0,✓,✗,21.20 ± 2.44 / 35.50 ± 4.49@@21.20,35.32 ± 2.83 / 28.37 ± 2.80@@35.32,1.07 ± 1.71 / 40.09 ± 4.27@@1.07,10.02 ± 1.05 / 0.19 ± 0.17@@10.02,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.61@@3.61,2611528704.0,128000.0,4096.0,✓,✗,0.75 ± 1.12 / 16.45 ± 0.30@@0.75,20.13 ± 7.34 / 22.67 ± 6.51@@20.13,1.03 ± 0.83 / 34.86 ± 1.69@@1.03,36.01 ± 1.66 / 24.22 ± 1.63@@36.01,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,3.66@@3.66,2569272320.0,65536.0,128000.0,✗,✗,16.02 ± 2.42 / 41.54 ± 2.44@@16.02,32.23 ± 2.94 / 34.33 ± 2.51@@32.23,-0.13 ± 1.39 / 34.36 ± 0.88@@-0.13,8.90 ± 0.67 / 1.62 ± 0.94@@8.90,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.75@@3.75,1235814400.0,128256.0,131072.0,✓,✗,4.77 ± 6.39 / 22.63 ± 4.69@@4.77,38.51 ± 1.88 / 37.58 ± 1.71@@38.51,-0.68 ± 2.18 / 38.19 ± 4.04@@-0.68,8.16 ± 1.21 / 0.00 ± 0.00@@8.16,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.80@@3.80,2611528704.0,128000.0,4096.0,✓,✗,4.62 ± 5.37 / 20.82 ± 4.70@@4.62,21.75 ± 5.12 / 23.32 ± 3.50@@21.75,2.13 ± 2.60 / 40.91 ± 5.26@@2.13,18.52 ± 1.63 / 0.80 ± 0.69@@18.52,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.95@@3.95,2424375168.0,99000.0,28723.0,✗,✗,3.10 ± 2.44 / 19.94 ± 3.30@@3.10,26.37 ± 2.56 / 29.17 ± 2.06@@26.37,0.66 ± 0.91 / 36.63 ± 4.40@@0.66,5.94 ± 0.75 / 0.00 ± 0.00@@5.94,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,4.04@@4.04,1170340608.0,65536.0,128000.0,✗,✗,1.05 ± 1.53 / 20.39 ± 3.21@@1.05,20.01 ± 2.07 / 23.18 ± 2.29@@20.01,2.34 ± 1.48 / 41.03 ± 5.08@@2.34,3.97 ± 0.44 / 0.04 ± 0.06@@3.97,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,4.06@@4.06,742489344.0,65536.0,128000.0,✗,✗,3.25 ± 1.56 / 29.13 ± 3.40@@3.25,19.61 ± 2.00 / 20.03 ± 2.00@@19.61,-0.81 ± 2.25 / 40.39 ± 3.62@@-0.81,3.53 ± 0.61 / 0.02 ± 0.04@@3.53,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.09@@4.09,134515008.0,49152.0,8192.0,✓,✗,-1.07 ± 1.49 / 20.20 ± 2.93@@-1.07,18.09 ± 2.36 / 22.73 ± 1.93@@18.09,0.00 ± 0.00 / 33.19 ± 0.34@@0.00,1.35 ± 0.50 / 0.56 ± 0.38@@1.35,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,4.12@@4.12,354483968.0,65536.0,128000.0,✗,✗,0.17 ± 0.92 / 26.85 ± 1.97@@0.17,14.78 ± 3.19 / 15.86 ± 2.13@@14.78,1.05 ± 1.62 / 34.34 ± 2.06@@1.05,1.55 ± 0.23 / 0.02 ± 0.04@@1.55,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.13@@4.13,361821120.0,49152.0,8192.0,✓,✗,0.93 ± 1.88 / 23.18 ± 3.48@@0.93,16.24 ± 1.46 / 16.62 ± 1.74@@16.24,0.50 ± 0.68 / 35.07 ± 2.16@@0.50,2.27 ± 0.26 / 0.00 ± 0.00@@2.27,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.15@@4.15,134515008.0,49152.0,8192.0,✓,✗,0.62 ± 0.94 / 20.09 ± 2.74@@0.62,14.00 ± 3.10 / 19.36 ± 2.04@@14.00,-1.84 ± 1.77 / 37.32 ± 3.29@@-1.84,2.11 ± 0.23 / 0.00 ± 0.00@@2.11,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.16@@4.16,361821120.0,49152.0,8192.0,✓,✗,0.35 ± 1.21 / 22.11 ± 3.29@@0.35,13.92 ± 1.67 / 19.23 ± 1.43@@13.92,0.00 ± 0.00 / 33.19 ± 0.34@@0.00,2.67 ± 0.93 / 1.73 ± 0.50@@2.67,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
