<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.13@@2.13,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,2.13@@2.13,2.29@@2.29,1.96@@1.96
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.13@@2.13,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,1.89@@1.89,2.50@@2.50,2.01@@2.01
<a href='https://hf.co/bineric/lynx-instruct-30b'>bineric/lynx-instruct-30b#thinking</a>,🤔,2.13@@2.13,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,2.12@@2.12,2.33@@2.33,1.94@@1.94
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.15@@2.15,9152319488.0,128000.0,4096.0,✓,✗,(✓),✓,2.10@@2.10,2.41@@2.41,1.94@@1.94
<a href='https://hf.co/bineric/lynx-instruct-30b'>bineric/lynx-instruct-30b#no-thinking</a>,📝,2.15@@2.15,30532122624.0,151936.0,262144.0,✓,✗,✗,✓,2.14@@2.14,2.35@@2.35,1.98@@1.98
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.17@@2.17,?,?,?,✓,✗,(✓),✓,2.09@@2.09,2.29@@2.29,2.11@@2.11
<a href='https://hf.co/norallm/normistral-11b-long'>norallm/normistral-11b-long</a>,🧠,2.18@@2.18,11429893120.0,51200.0,32768.0,✓,✗,(✓),✗,2.17@@2.17,2.35@@2.35,2.03@@2.03
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.18@@2.18,?,?,1047576.0,✓,✗,✗,✓,1.94@@1.94,2.39@@2.39,2.20@@2.20
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.19@@2.19,3402836480.0,100352.0,131072.0,✓,✗,(✓),✗,2.17@@2.17,2.38@@2.38,2.03@@2.03
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.19@@2.19,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,2.21@@2.21,2.32@@2.32,2.06@@2.06
<a href='https://hf.co/AI-Sweden-Models/ModernBERT-large'>AI-Sweden-Models/ModernBERT-large</a>,🔍,2.20@@2.20,395881664.0,50368.0,8192.0,✓,✗,(✓),✗,2.29@@2.29,2.08@@2.08,2.24@@2.24
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,2.22@@2.22,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.14@@2.14,2.45@@2.45,2.08@@2.08
<a href='https://hf.co/arcee-ai/Trinity-Mini'>arcee-ai/Trinity-Mini (val)</a>,🤔,2.24@@2.24,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,1.99@@1.99,2.55@@2.55,2.20@@2.20
<a href='https://hf.co/NbAiLab/borealis-4b-instruct-preview'>NbAiLab/borealis-4b-instruct-preview (val)</a>,📝,2.26@@2.26,3880263168.0,262144.0,8192.0,✓,✗,(✓),✗,2.37@@2.37,2.06@@2.06,2.36@@2.36
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.26@@2.26,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,2.26@@2.26,2.38@@2.38,2.15@@2.15
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E</a>,📝,2.27@@2.27,108641793536.0,200000.0,?,✓,✗,(✓),✓,2.22@@2.22,2.38@@2.38,2.20@@2.20
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.27@@2.27,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,2.03@@2.03,2.52@@2.52,2.26@@2.26
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.28@@2.28,3191396096.0,100352.0,131072.0,✓,✗,(✓),✗,2.32@@2.32,2.43@@2.43,2.09@@2.09
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.28@@2.28,?,?,400000.0,✓,✗,✗,✓,2.19@@2.19,2.40@@2.40,2.24@@2.24
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,2.28@@2.28,4659861248.0,248044.0,8192.0,✓,✗,(✓),✓,2.41@@2.41,2.30@@2.30,2.13@@2.13
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.29@@2.29,22637328384.0,128000.0,32768.0,✓,✗,(✓),✓,2.40@@2.40,2.38@@2.38,2.11@@2.11
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think</a>,🤔,2.29@@2.29,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.18@@2.18,2.50@@2.50,2.18@@2.18
<a href='https://hf.co/KennethEnevoldsen/dfm-sentence-encoder-medium'>KennethEnevoldsen/dfm-sentence-encoder-medium</a>,🔍,2.31@@2.31,124448259.0,50005.0,514.0,✓,✗,(✓),✗,1.83@@1.83,2.43@@2.43,2.66@@2.66
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.31@@2.31,40433885184.0,256000.0,32768.0,✓,✗,(✓),✓,2.37@@2.37,2.64@@2.64,1.93@@1.93
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.31@@2.31,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,2.34@@2.34,2.49@@2.49,2.10@@2.10
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,2.33@@2.33,4757260288.0,32000.0,32768.0,✓,✗,(✓),✓,2.28@@2.28,2.56@@2.56,2.16@@2.16
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.33@@2.33,32233522176.0,100278.0,65536.0,✓,✗,(✓),✓,2.47@@2.47,2.54@@2.54,1.99@@1.99
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,2.35@@2.35,140642691.0,256000.0,8192.0,✓,✗,(✓),✓,2.58@@2.58,2.28@@2.28,2.20@@2.20
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.35@@2.35,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,2.38@@2.38,2.52@@2.52,2.14@@2.14
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.36@@2.36,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,2.35@@2.35,2.52@@2.52,2.22@@2.22
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,2.36@@2.36,11168796672.0,32128.0,32768.0,✓,✗,(✓),✓,2.29@@2.29,2.53@@2.53,2.28@@2.28
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,2.36@@2.36,8053338176.0,131072.0,65536.0,✓,✗,(✓),✗,2.21@@2.21,2.85@@2.85,2.02@@2.02
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.38@@2.38,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,2.30@@2.30,2.62@@2.62,2.22@@2.22
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.42@@2.42,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,2.38@@2.38,2.45@@2.45,2.42@@2.42
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,2.44@@2.44,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,2.43@@2.43,2.69@@2.69,2.20@@2.20
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,2.44@@2.44,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,2.47@@2.47,2.62@@2.62,2.23@@2.23
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.44@@2.44,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,2.42@@2.42,2.58@@2.58,2.33@@2.33
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,2.47@@2.47,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,2.44@@2.44,2.61@@2.61,2.36@@2.36
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.51@@2.51,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,2.40@@2.40,2.75@@2.75,2.39@@2.39
<a href='https://hf.co/norallm/normistral-11b-thinking'>norallm/normistral-11b-thinking</a>,🤔,2.59@@2.59,11429893120.0,51200.0,1024000.0,✓,✗,(✓),✗,2.44@@2.44,2.41@@2.41,2.92@@2.92
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.60@@2.60,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.54@@2.54,2.73@@2.73,2.53@@2.53
<a href='https://hf.co/vesteinn/DanskBERT'>vesteinn/DanskBERT</a>,🔍,2.60@@2.60,124548012.0,50005.0,514.0,✓,✗,(✓),✓,2.23@@2.23,2.80@@2.80,2.78@@2.78
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.64@@2.64,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,2.68@@2.68,2.84@@2.84,2.39@@2.39
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,2.65@@2.65,6939037248.0,100352.0,131072.0,✓,✗,(✓),✗,2.65@@2.65,2.72@@2.72,2.58@@2.58
<a href='https://hf.co/Qwen/Qwen2.5-1.5B-Instruct'>Qwen/Qwen2.5-1.5B-Instruct</a>,📝,2.65@@2.65,1543714304.0,151936.0,32768.0,✓,✗,(✓),✓,2.58@@2.58,2.84@@2.84,2.53@@2.53
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,2.65@@2.65,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.64@@2.64,2.77@@2.77,2.53@@2.53
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,2.66@@2.66,4619184640.0,128004.0,65536.0,✓,✗,(✓),✗,2.66@@2.66,2.86@@2.86,2.47@@2.47
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,2.70@@2.70,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,2.49@@2.49,2.94@@2.94,2.68@@2.68
<a href='https://hf.co/NbAiLab/borealis-4b-instruct-preview'>NbAiLab/borealis-4b-instruct-preview</a>,📝,2.71@@2.71,3880263168.0,262144.0,8192.0,✓,✗,(✓),✗,2.82@@2.82,2.58@@2.58,2.74@@2.74
<a href='https://hf.co/KennethEnevoldsen/dfm-sentence-encoder-small'>KennethEnevoldsen/dfm-sentence-encoder-small</a>,🔍,2.72@@2.72,21944195.0,96105.0,128.0,✓,✗,(✓),✗,2.78@@2.78,2.79@@2.79,2.58@@2.58
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,2.74@@2.74,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.73@@2.73,2.90@@2.90,2.61@@2.61
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,2.78@@2.78,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,2.69@@2.69,3.01@@3.01,2.65@@2.65
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,2.78@@2.78,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,2.68@@2.68,2.94@@2.94,2.71@@2.71
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,2.78@@2.78,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,2.86@@2.86,2.80@@2.80,2.68@@2.68
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,2.81@@2.81,8053338176.0,131072.0,65536.0,✗,✗,(✓),✗,3.12@@3.12,2.24@@2.24,3.07@@3.07
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,2.83@@2.83,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,2.76@@2.76,3.13@@3.13,2.61@@2.61
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,2.87@@2.87,2680100864.0,131072.0,262144.0,✓,✗,✗,✓,2.77@@2.77,3.06@@3.06,2.78@@2.78
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,2.90@@2.90,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,2.87@@2.87,2.96@@2.96,2.87@@2.87
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,2.90@@2.90,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,3.06@@3.06,3.00@@3.00,2.64@@2.64
<a href='https://hf.co/NbAiLab/borealis-1b-instruct-preview'>NbAiLab/borealis-1b-instruct-preview (val)</a>,📝,2.91@@2.91,999885952.0,262144.0,32768.0,✓,✗,(✓),✗,2.81@@2.81,3.12@@3.12,2.81@@2.81
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,3.00@@3.00,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,2.94@@2.94,3.16@@3.16,2.89@@2.89
<a href='https://hf.co/DDSC/roberta-base-danish'>DDSC/roberta-base-danish</a>,🔍,3.06@@3.06,124697947.0,50265.0,514.0,✓,✗,(✓),✗,3.05@@3.05,3.12@@3.12,3.01@@3.01
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,3.06@@3.06,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,3.07@@3.07,3.17@@3.17,2.94@@2.94
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.07@@3.07,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,3.16@@3.16,3.24@@3.24,2.82@@2.82
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.08@@3.08,2424375168.0,99000.0,28723.0,✗,✗,(✓),✓,3.02@@3.02,3.32@@3.32,2.89@@2.89
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B</a>,📝,3.09@@3.09,4619189760.0,128005.0,65536.0,✓,✗,(✓),✗,3.09@@3.09,3.27@@3.27,2.91@@2.91
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,3.11@@3.11,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,3.27@@3.27,3.02@@3.02,3.05@@3.05
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.12@@3.12,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,3.16@@3.16,3.21@@3.21,2.97@@2.97
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-20b-instruct'>AI-Sweden-Models/gpt-sw3-20b-instruct</a>,📝,3.14@@3.14,20918423552.0,64000.0,2048.0,✓,✗,(✓),✗,3.29@@3.29,2.95@@2.95,3.18@@3.18
<a href='https://hf.co/google/gemma-4-E4B'>google/gemma-4-E4B (val)</a>,🧠,3.19@@3.19,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,3.35@@3.35,3.34@@3.34,2.88@@2.88
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.24@@3.24,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,3.20@@3.20,3.42@@3.42,3.11@@3.11
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.25@@3.25,751632384.0,151936.0,40960.0,✓,✗,✗,✓,3.31@@3.31,3.52@@3.52,2.93@@2.93
<a href='https://hf.co/danish-foundation-models/encoder-small-v1'>danish-foundation-models/encoder-small-v1</a>,🔍,3.26@@3.26,22007401.0,96105.0,128.0,✓,✗,(✓),✗,2.99@@2.99,3.44@@3.44,3.35@@3.35
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.26@@3.26,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,3.30@@3.30,3.57@@3.57,2.92@@2.92
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base</a>,📝,3.27@@3.27,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,3.33@@3.33,3.33@@3.33,3.16@@3.16
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.34@@3.34,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,3.31@@3.31,3.15@@3.15,3.56@@3.56
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,3.39@@3.39,755625600.0,128256.0,8192.0,✓,✗,(✓),✓,3.59@@3.59,3.40@@3.40,3.17@@3.17
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,3.42@@3.42,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,3.23@@3.23,3.39@@3.39,3.63@@3.63
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.42@@3.42,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,3.33@@3.33,3.58@@3.58,3.36@@3.36
<a href='https://hf.co/google/gemma-4-E2B'>google/gemma-4-E2B (val)</a>,🧠,3.46@@3.46,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,3.57@@3.57,3.62@@3.62,3.19@@3.19
<a href='https://hf.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,3.46@@3.46,395881664.0,50368.0,8192.0,✓,✗,(✓),✓,3.66@@3.66,3.38@@3.38,3.35@@3.35
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,3.49@@3.49,93990500.0,65636.0,512.0,✓,✗,(✓),✓,3.51@@3.51,3.61@@3.61,3.35@@3.35
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,3.50@@3.50,310266624.0,128256.0,8192.0,✓,✗,(✓),✓,3.69@@3.69,3.50@@3.50,3.31@@3.31
<a href='https://hf.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,3.50@@3.50,149655232.0,50368.0,8192.0,✓,✗,(✓),✓,3.75@@3.75,3.39@@3.39,3.37@@3.37
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base</a>,📝,3.55@@3.55,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,3.66@@3.66,3.63@@3.63,3.36@@3.36
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.57@@3.57,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,3.42@@3.42,3.84@@3.84,3.45@@3.45
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.66@@3.66,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,3.62@@3.62,3.79@@3.79,3.56@@3.56
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,3.72@@3.72,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,3.86@@3.86,3.82@@3.82,3.49@@3.49
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,3.75@@3.75,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,3.73@@3.73,3.92@@3.92,3.62@@3.62
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m'>AI-Sweden-Models/gpt-sw3-356m</a>,🧠,3.78@@3.78,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,3.90@@3.90,3.62@@3.62,3.82@@3.82
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.83@@3.83,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,3.77@@3.77,3.96@@3.96,3.77@@3.77
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.85@@3.85,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,3.84@@3.84,3.95@@3.95,3.76@@3.76
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,3.86@@3.86,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,3.83@@3.83,3.92@@3.92,3.83@@3.83
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Thinking'>LiquidAI/LFM2.5-1.2B-Thinking</a>,🤔,3.87@@3.87,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,3.80@@3.80,4.23@@4.23,3.57@@3.57
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,3.88@@3.88,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,3.90@@3.90,3.98@@3.98,3.77@@3.77
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m-instruct'>AI-Sweden-Models/gpt-sw3-126m-instruct</a>,📝,3.89@@3.89,186112512.0,64000.0,2048.0,✓,✗,(✓),✗,3.90@@3.90,3.97@@3.97,3.80@@3.80
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,3.93@@3.93,?,103424.0,131072.0,✓,✗,(✓),✗,3.96@@3.96,3.95@@3.95,3.88@@3.88
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,3.95@@3.95,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,3.99@@3.99,4.04@@4.04,3.83@@3.83
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.03@@4.03,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,4.02@@4.02,4.08@@4.08,3.99@@3.99
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.05@@4.05,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,4.11@@4.11,4.21@@4.21,3.83@@3.83
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct</a>,📝,4.06@@4.06,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,4.05@@4.05,4.02@@4.02,4.11@@4.11
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,4.07@@4.07,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,3.96@@3.96,4.10@@4.10,4.14@@4.14
<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview (val)</a>,📝,4.09@@4.09,268098176.0,262144.0,32768.0,✓,✗,(✓),✗,4.17@@4.17,4.13@@4.13,3.98@@3.98
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.11@@4.11,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,4.15@@4.15,4.20@@4.20,3.99@@3.99
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.15@@4.15,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,4.18@@4.18,4.12@@4.12,4.15@@4.15
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.15@@4.15,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,4.12@@4.12,4.23@@4.23,4.10@@4.10
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.16@@4.16,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,4.17@@4.17,4.12@@4.12,4.19@@4.19
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.18@@4.18,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,4.21@@4.21,4.26@@4.26,4.07@@4.07
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m</a>,🧠,4.28@@4.28,186112512.0,64000.0,2048.0,✓,✗,(✓),✗,4.27@@4.27,4.28@@4.28,4.27@@4.27
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,4.34@@4.34,56656128.0,8192.0,2048.0,✓,✗,(✓),✓,4.30@@4.30,4.48@@4.48,4.25@@4.25
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.36@@4.36,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,4.30@@4.30,4.49@@4.49,4.30@@4.30
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.39@@4.39,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,4.34@@4.34,4.40@@4.40,4.43@@4.43
