<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,,,
Model,Type,Rank,"<a href=""https://euroeval.com/tasks/european-values"">European Values</a>",Parameters,Vocabulary,Context,Commercial,Merge,Open,Trained from scratch,Danish,Norwegian,Swedish
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.59@@2.59,N/A,4300079472.0,262144.0,8192.0,✓,✗,(✓),✓,2.43@@2.43,2.76@@2.76,2.58@@2.58
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,2.60@@2.60,N/A,3349227520.0,262144.0,500000.0,✗,✗,(✓),✓,2.57@@2.57,2.75@@2.75,2.49@@2.49
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think (val)</a>,🤔,2.64@@2.64,?,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.53@@2.53,2.81@@2.81,2.58@@2.58
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.64@@2.64,5.37,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,2.53@@2.53,2.85@@2.85,2.53@@2.53
<a href='https://hf.co/allenai/Olmo-3-1025-7B'>allenai/Olmo-3-1025-7B</a>,🧠,2.68@@2.68,N/A,7298011136.0,100278.0,65536.0,✓,✗,(✓),✓,2.65@@2.65,2.88@@2.88,2.52@@2.52
<a href='https://hf.co/google/gemma-4-26B-A4B'>google/gemma-4-26B-A4B (val)</a>,🧠,2.69@@2.69,N/A,25805936206.0,262144.0,8192.0,✓,✗,(✓),✓,2.58@@2.58,2.94@@2.94,2.55@@2.55
<a href='https://hf.co/Unbabel/Tower-Plus-2B'>Unbabel/Tower-Plus-2B (val)</a>,📝,2.75@@2.75,4.46,2614341888.0,256000.0,8192.0,✗,✗,(✓),✗,2.56@@2.56,2.93@@2.93,2.76@@2.76
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-3B'>deepcogito/cogito-v1-preview-llama-3B</a>,📝,2.85@@2.85,8.71,3606752256.0,128256.0,131072.0,✓,✗,(✓),✗,2.74@@2.74,2.95@@2.95,2.85@@2.85
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct'>allenai/Olmo-3-7B-Instruct</a>,📝,2.87@@2.87,0.97,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.80@@2.80,2.98@@2.98,2.83@@2.83
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-DPO'>allenai/Olmo-3-7B-Instruct-DPO</a>,📝,2.91@@2.91,1.78,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,2.87@@2.87,3.01@@3.01,2.84@@2.84
<a href='https://hf.co/HuggingFaceTB/SmolLM3-3B-Base'>HuggingFaceTB/SmolLM3-3B-Base</a>,🧠,2.91@@2.91,N/A,3075098624.0,128256.0,65536.0,✓,✗,✗,✓,2.85@@2.85,3.13@@3.13,2.77@@2.77
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,2.94@@2.94,6.09,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,2.83@@2.83,3.09@@3.09,2.89@@2.89
<a href='https://hf.co/speakleash/Bielik-1.5B-v3.0-Instruct'>speakleash/Bielik-1.5B-v3.0-Instruct</a>,📝,3.09@@3.09,10.61,1596507648.0,32000.0,8192.0,✓,✗,(✓),✓,2.97@@2.97,3.36@@3.36,2.94@@2.94
<a href='https://hf.co/allenai/Olmo-3-7B-Instruct-SFT'>allenai/Olmo-3-7B-Instruct-SFT</a>,📝,3.13@@3.13,2.37,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,3.08@@3.08,3.25@@3.25,3.08@@3.08
<a href='https://hf.co/Qwen/Qwen3.5-2B-Base'>Qwen/Qwen3.5-2B-Base (val)</a>,🧠,3.14@@3.14,N/A,2274067232.0,248044.0,8192.0,✓,✗,(✓),✓,3.18@@3.18,3.24@@3.24,2.99@@2.99
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-4B-FP8 (val)</a>,🤔,3.14@@3.14,?,2680100864.0,131072.0,262144.0,✓,✗,✗,✓,3.08@@3.08,3.31@@3.31,3.02@@3.02
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.16@@3.16,0.55,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,3.11@@3.11,3.23@@3.23,3.15@@3.15
<a href='https://hf.co/tencent/Hunyuan-4B-Instruct'>tencent/Hunyuan-4B-Instruct (val)</a>,🤔,3.17@@3.17,?,4221757440.0,120818.0,262144.0,✓,✗,(✓),✓,3.15@@3.15,3.28@@3.28,3.10@@3.10
<a href='https://hf.co/NbAiLab/borealis-1b-instruct-preview'>NbAiLab/borealis-1b-instruct-preview (val)</a>,📝,3.19@@3.19,2.23,999885952.0,262144.0,32768.0,✓,✗,(✓),✗,3.16@@3.16,3.33@@3.33,3.09@@3.09
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.21@@3.21,6.42,2424375168.0,99000.0,28723.0,✗,✗,(✓),✓,3.21@@3.21,3.38@@3.38,3.05@@3.05
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.27@@3.27,7.06,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,3.16@@3.16,3.45@@3.45,3.20@@3.20
<a href='https://hf.co/Qwen/Qwen3-0.6B'>Qwen/Qwen3-0.6B#no-thinking</a>,📝,3.31@@3.31,3.7,751632384.0,151936.0,40960.0,✓,✗,✗,✓,3.30@@3.30,3.51@@3.51,3.11@@3.11
<a href='https://hf.co/Qwen/Qwen3.5-0.8B-Base'>Qwen/Qwen3.5-0.8B-Base (val)</a>,🧠,3.39@@3.39,N/A,873436192.0,248044.0,8192.0,✓,✗,(✓),✓,3.44@@3.44,3.45@@3.45,3.28@@3.28
<a href='https://hf.co/tencent/Hunyuan-7B-Instruct'>tencent/Hunyuan-7B-Instruct (val)</a>,🤔,3.42@@3.42,?,7504568320.0,128167.0,32768.0,✓,✗,(✓),✓,3.36@@3.36,3.52@@3.52,3.37@@3.37
<a href='https://hf.co/BSC-LT/salamandra-7b'>BSC-LT/salamandra-7b</a>,🧠,3.45@@3.45,N/A,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,3.30@@3.30,3.35@@3.35,3.69@@3.69
<a href='https://hf.co/meta-llama/Llama-3.2-1B'>meta-llama/Llama-3.2-1B</a>,🧠,3.47@@3.47,N/A,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,3.43@@3.43,3.73@@3.73,3.24@@3.24
<a href='https://hf.co/google/gemma-3-1b-pt'>google/gemma-3-1b-pt</a>,🧠,3.48@@3.48,N/A,999885952.0,262144.0,32768.0,✓,✗,(✓),✓,3.46@@3.46,3.68@@3.68,3.29@@3.29
<a href='https://hf.co/google/gemma-4-E4B'>google/gemma-4-E4B (val)</a>,🧠,3.52@@3.52,N/A,7996157418.0,262144.0,8192.0,✓,✗,(✓),✓,3.58@@3.58,3.63@@3.63,3.34@@3.34
<a href='https://hf.co/microsoft/Phi-4-reasoning-plus'>microsoft/Phi-4-reasoning-plus (val)</a>,🤔,3.53@@3.53,?,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,3.33@@3.33,3.56@@3.56,3.71@@3.71
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.59@@3.59,5.07,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,3.48@@3.48,3.75@@3.75,3.53@@3.53
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Preview</a>,🧠,3.71@@3.71,N/A,2611528704.0,128000.0,4096.0,✓,✗,(✓),✓,3.55@@3.55,3.96@@3.96,3.61@@3.61
<a href='https://hf.co/google/gemma-4-E2B'>google/gemma-4-E2B (val)</a>,🧠,3.71@@3.71,N/A,5123178979.0,262144.0,8192.0,✓,✗,(✓),✓,3.78@@3.78,3.78@@3.78,3.58@@3.58
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.72@@3.72,N/A,1195468800.0,65536.0,2048.0,✓,✗,(✓),✓,3.49@@3.49,3.87@@3.87,3.78@@3.78
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.74@@3.74,6.9,1235814400.0,128256.0,131072.0,✓,✗,(✓),✓,3.70@@3.70,3.83@@3.83,3.69@@3.69
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,3.75@@3.75,0.07,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,3.68@@3.68,3.89@@3.89,3.69@@3.69
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,3.77@@3.77,2.16,742489344.0,65536.0,128000.0,✗,✗,(✓),✓,3.66@@3.66,3.88@@3.88,3.76@@3.76
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,3.84@@3.84,9.65,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,3.83@@3.83,4.00@@4.00,3.70@@3.70
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,3.85@@3.85,N/A,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,3.85@@3.85,3.98@@3.98,3.72@@3.72
<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview (val)</a>,📝,3.92@@3.92,5.5,268098176.0,262144.0,32768.0,✓,✗,(✓),✗,3.83@@3.83,4.00@@4.00,3.92@@3.92
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,3.97@@3.97,1.39,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,3.85@@3.85,4.03@@4.03,4.01@@4.01
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.05@@4.05,14.41,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,4.01@@4.01,4.22@@4.22,3.93@@3.93
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.05@@4.05,N/A,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,4.02@@4.02,4.15@@4.15,3.97@@3.97
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.05@@4.05,2.37,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,3.93@@3.93,4.20@@4.20,4.02@@4.02
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.07@@4.07,12.39,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,4.04@@4.04,4.10@@4.10,4.06@@4.06
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.10@@4.10,N/A,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,3.96@@3.96,4.24@@4.24,4.09@@4.09
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.13@@4.13,N/A,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,4.04@@4.04,4.18@@4.18,4.17@@4.17
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.17@@4.17,N/A,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,4.24@@4.24,4.31@@4.31,3.97@@3.97
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.38@@4.38,5.32,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,4.34@@4.34,4.48@@4.48,4.33@@4.33
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.50@@4.50,5.45,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,4.56@@4.56,4.48@@4.48,4.45@@4.45
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,4.59@@4.59,N/A,56656128.0,8192.0,2048.0,✓,✗,(✓),✓,4.55@@4.55,4.70@@4.70,4.54@@4.54
<a href='https://hf.co/ltg/norbert2'>ltg/norbert2</a>,🔍,-@@100,N/A,125165498.0,50104.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ltg/norbert3-base'>ltg/norbert3-base</a>,🔍,-@@100,N/A,124032771.0,50000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ltg/norbert3-large'>ltg/norbert3-large</a>,🔍,-@@100,N/A,354407427.0,50000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ltg/norbert3-small'>ltg/norbert3-small</a>,🔍,-@@100,N/A,40635267.0,50000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/lightonai/alfred-40b-1023'>lightonai/alfred-40b-1023</a>,📝,-@@100,?,?,65024.0,?,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ltg/norbert3-xs'>ltg/norbert3-xs</a>,🔍,-@@100,N/A,14972355.0,50000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,-@@100,N/A,278044162.0,250002.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,-@@100,N/A,559890946.0,250002.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,-@@100,N/A,307532547.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,-@@100,N/A,140642691.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-3.2-3B'>meta-llama/Llama-3.2-3B</a>,🧠,-@@100,N/A,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,-@@100,N/A,2023868416.0,64000.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/marksverdhei/modern-norbert3-base'>marksverdhei/modern-norbert3-base</a>,🔍,-@@100,N/A,123994448.0,50000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,-@@100,N/A,405853388800.0,128256.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/google/gemma-2-9b'>google/gemma-2-9b</a>,🧠,-@@100,N/A,9241705984.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/google/gemma-2-9b-it'>google/gemma-2-9b-it</a>,📝,-@@100,?,9241705984.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct</a>,📝,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/google/gemma-2-2b'>google/gemma-2-2b</a>,🧠,-@@100,N/A,2614341888.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,-@@100,?,405868625920.0,128256.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/google/gemma-2-2b-it'>google/gemma-2-2b-it</a>,📝,-@@100,?,2614341888.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/google/gemma-2-27b'>google/gemma-2-27b</a>,🧠,-@@100,N/A,27227128320.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/google/gemma-2-27b-it'>google/gemma-2-27b-it</a>,📝,-@@100,?,27227128320.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,-@@100,N/A,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/ltg/norbert'>ltg/norbert</a>,🔍,-@@100,N/A,111952540.0,32922.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/google/gemma-2b-it'>google/gemma-2b-it</a>,📝,-@@100,?,2506172416.0,256000.0,8192.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/marksverdhei/modern-norbert3-large'>marksverdhei/modern-norbert3-large</a>,🔍,-@@100,N/A,354290512.0,50000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/marksverdhei/modern-norbert3-small'>marksverdhei/modern-norbert3-small</a>,🔍,-@@100,N/A,40641104.0,50000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/marksverdhei/modern-norbert3-xs'>marksverdhei/modern-norbert3-xs</a>,🔍,-@@100,N/A,15000272.0,50000.0,512.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-2-13b-chat-hf'>meta-llama/Llama-2-13b-chat-hf</a>,📝,-@@100,?,13015866880.0,32000.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-2-7b-hf'>meta-llama/Llama-2-7b-hf</a>,📝,-@@100,?,6738417664.0,32000.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-2-13b-hf'>meta-llama/Llama-2-13b-hf</a>,🧠,-@@100,N/A,13015866880.0,32000.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf</a>,📝,-@@100,?,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf</a>,🧠,-@@100,N/A,68976653312.0,32000.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/google/gemma-2b'>google/gemma-2b</a>,🧠,-@@100,N/A,2506172416.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/meta-llama/Llama-2-7b-chat-hf'>meta-llama/Llama-2-7b-chat-hf</a>,📝,-@@100,?,6738417664.0,32000.0,4096.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/infly/OpenCoder-8B-Instruct'>infly/OpenCoder-8B-Instruct</a>,📝,-@@100,?,7771262976.0,96640.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-8b-code-base'>ibm-granite/granite-8b-code-base</a>,🧠,-@@100,N/A,8054910976.0,49152.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-4o-mini'>gpt-4o-mini-2024-07-18 (zero-shot, val)</a>",📝,-@@100,?,?,200019.0,128000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#high (zero-shot, val)</a>",🤔,-@@100,?,?,100256.0,272000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07#minimal (zero-shot, val)</a>",🤔,-@@100,?,?,100256.0,272000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-5'>gpt-5-2025-08-07 (zero-shot, val)</a>",🤔,-@@100,?,?,100256.0,272000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#high (zero-shot, val)</a>",🤔,-@@100,?,?,100256.0,272000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-5-mini'>gpt-5-mini-2025-08-07#minimal (zero-shot, val)</a>",🤔,-@@100,?,?,100256.0,272000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07#high (zero-shot, val)</a>",🤔,-@@100,?,?,100256.0,272000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07#minimal (zero-shot, val)</a>",🤔,-@@100,?,?,100256.0,272000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/google/gemma-3n-E4B'>google/gemma-3n-E4B</a>,🧠,-@@100,N/A,7849978192.0,262400.0,?,✓,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-4o'>gpt-4o-2024-05-13 (zero-shot, val)</a>",📝,-@@100,?,?,200019.0,128000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/google/gemma-7b-it'>google/gemma-7b-it</a>,📝,-@@100,?,8537680896.0,256000.0,8192.0,✗,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/google/gemma-7b'>google/gemma-7b</a>,🧠,-@@100,N/A,8537680896.0,256000.0,8192.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,-@@100,N/A,575923843.0,250300.0,512.0,✓,✗,(✓),✓,-@@100,-@@100,-@@100
"<a href='https://platform.openai.com/docs/models/gpt-4-turbo'>gpt-4-1106-preview (zero-shot, val)</a>",📝,-@@100,?,?,100256.0,128000.0,✓,✗,✗,✓,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-20b-code-base'>ibm-granite/granite-20b-code-base</a>,🧠,-@@100,N/A,20066993152.0,49152.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-20b-code-instruct'>ibm-granite/granite-20b-code-instruct</a>,📝,-@@100,?,20066993152.0,49152.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-3.0-1b-a400m-base'>ibm-granite/granite-3.0-1b-a400m-base</a>,🧠,-@@100,N/A,1384956928.0,49152.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-7b-base'>ibm-granite/granite-7b-base</a>,🧠,-@@100,N/A,6738415616.0,32000.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-7b-instruct'>ibm-granite/granite-7b-instruct</a>,📝,-@@100,?,6738481152.0,32008.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-8b-code-instruct-4k'>ibm-granite/granite-8b-code-instruct-4k</a>,📝,-@@100,?,8054910976.0,49152.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/infly/OpenCoder-1.5B-Base'>infly/OpenCoder-1.5B-Base</a>,📝,-@@100,?,1905650960.0,96640.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/infly/OpenCoder-1.5B-Instruct'>infly/OpenCoder-1.5B-Instruct</a>,📝,-@@100,?,1905650880.0,96640.0,4096.0,✗,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/infly/OpenCoder-8B-Base'>infly/OpenCoder-8B-Base</a>,📝,-@@100,?,7771263040.0,96640.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-8b-code-base-4k'>ibm-granite/granite-8b-code-base-4k</a>,🧠,-@@100,N/A,8054910976.0,49152.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-3.0-1b-a400m-instruct'>ibm-granite/granite-3.0-1b-a400m-instruct</a>,📝,-@@100,?,1334628352.0,49155.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-3.0-2b-base'>ibm-granite/granite-3.0-2b-base</a>,🧠,-@@100,N/A,2533525504.0,49152.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-3.0-2b-instruct'>ibm-granite/granite-3.0-2b-instruct</a>,📝,-@@100,?,2634201088.0,49155.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-3.0-3b-a800m-base'>ibm-granite/granite-3.0-3b-a800m-base</a>,🧠,-@@100,N/A,3374286336.0,49152.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-3.0-3b-a800m-instruct'>ibm-granite/granite-3.0-3b-a800m-instruct</a>,📝,-@@100,?,3374295552.0,49155.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-3.0-8b-base'>ibm-granite/granite-3.0-8b-base</a>,🧠,-@@100,N/A,8170835968.0,49152.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-3.0-8b-instruct'>ibm-granite/granite-3.0-8b-instruct</a>,📝,-@@100,?,8170848256.0,49155.0,4096.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-34b-code-base'>ibm-granite/granite-34b-code-base</a>,🧠,-@@100,N/A,33715603456.0,49152.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-34b-code-instruct'>ibm-granite/granite-34b-code-instruct</a>,📝,-@@100,?,33715603456.0,49152.0,8192.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
<a href='https://hf.co/ibm-granite/granite-3b-code-base-2k'>ibm-granite/granite-3b-code-base-2k</a>,🧠,-@@100,N/A,3482503680.0,49152.0,2048.0,✓,✗,(✓),✗,-@@100,-@@100,-@@100
